"FRS Link CSV","Cleanup Name","Location Address","City Name","State Code","Postal Code","County Name","EPA ID","Brownfields Link CSV","RCRA Link CSV","Superfund Link CSV","ECHO Link CSV","Response Link CSV","Map Site CSV"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009295896","BARKER HUGHESVILLE MINING DISTRICT","FOREST SERVICE ROAD 6403","MONARCH","MT","59465","CASCADE","MT6122307485","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0801208","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:47.071683 -110.643788"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009298508","IOWA-NEBRASKA LIGHT & POWER CO","102-104 SOUTH 7TH STREET","NORFOLK","NE","68701","MADISON","NED986373678","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0702377","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:42.0323 -97.417028"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009299277","QUANTA RESOURCES","ONE RIVER RD","EDGEWATER","NJ","07020","BERGEN","NJD000606442","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200034","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.804306 -73.989167"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009299561","RADIATION TECHNOLOGY INC","108 LAKE DENMARK ROAD","ROCKAWAY","NJ","07866","MORRIS","NJD047684451","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200332","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.970831 -74.50555"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009299721","LIPARI LANDFILL","RT 322","PITMAN","NJ","08071","GLOUCESTER","NJD980505416","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200557","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.720281 -75.141939"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009299883","BRICK TOWNSHIP LANDFILL","SALLY IKE ROAD","BRICK TOWNSHIP","NJ","08723","OCEAN","NJD980505176","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200540","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.1098 -74.1311"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009300112","RINGWOOD MINES/LANDFILL","PETERS MINE ROAD","RINGWOOD","NJ","07456","PASSAIC","NJD980529739","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200663","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.136669 -74.2725"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009300407","PUCHACK WELL FIELD","WEST OF US 130; SOUTH OF STATE HWY 90","PENNSAUKEN","NJ","08110","CAMDEN","NJD981084767","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204096","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.976667 -75.051944"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009300719","ATLANTIC RESOURCES CORP","120 HORSESHOE ROAD","SAYREVILLE","NJ","08872","MIDDLESEX","NJD981558430","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201116","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.486111 -74.319444"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009301148","SOUTH VALLEY","BROADWAY & WOODWARD","ALBUQUERQUE","NM","87105","BERNALILLO","NMD980745558","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600881","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:35.0441 -106.6411"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009302012","FULTON AVENUE","150 FULTON AVENUE","NEW HYDE PARK","NY","11040","NASSAU","NY0000110247","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0203853","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.737337 -73.657844"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110009302977","OLEAN WELL FIELD","LAUREN ST","OLEAN","NY","14760","CATTARAUGUS","NYD980528657","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201877","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:42.069439 -78.404719"
